Lab 02 (820171),Lab 03 (820172),Lab 04 (820173),Lab 05 (820174),Lab 06 (820175),Lab 07 (820176),Lab 08 (820177),Lab 09 (820178),Lab 10 (820179),Lab 11 (820180),Lab 12 (820181),Lab 13 (820182),Lab 14 (820183),Lab 15 (820184),Lab 16 (820185),Lab 17 (820186),Lab 20 (820189),Lab 21 (820190),Lab 22 (820187),Lab 23 (820188),Homework 1 (820163),Homework 2 (820164),Homework 3 (820165),Homework 4 (820211),Homework 5 (820166),Homework 6 (820167),Homework 7 (820168),Project 1 (820193),Project 2A (820194),Project 2B (820195),Project 3 (820196),Project 4 (820197),Midterm 1 (820191),Midterm 2 (820192),Final Exam (820162)
20,20,20,20,0,20,20,20,20,20,20,0,20,20,20,20,0,20,20,20,50,50,50,50,50,50,50,100,50,50,100,65,38,44,58
20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,44,53
20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,0,20,50,50,50,50,50,50,50,100,50,50,100,100,40,43,61
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,39,44,63
20,20,20,19.89,20,20,20,20,20,17,20,20,0,20,20,9,20,0,20,0,50,50,44,50,50,0,50,100,50,50,100,100,30,45,51
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,75,37,41,38
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,39,60
20,20,20,19.98,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,40,100,50,50,99.99,25,40,45,58
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,0,100,45,50,100,100,38,43,49
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,41,59
20,20,20,0,20,20,20,20,20,20,0,20,20,20,20,20,20,0,20,20,50,50,50,50,50,50,50,80,50,50,100,100,37.5,43,56.5
20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,9,20,20,20,20,50,50,50,0,50,40,50,100,50,50,99.99,0,38,43,57
20,0,20,11,7,20,20,20,20,20,20,20,10,20,20,20,20,20,0,20,30,50,50,50,0,50,0,100,50,50,100,40,35,40,57
20,20,20,8.6,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,35,50,50,25,50,0,0,100,20,2,0,0,38,44,54
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,27.89,50,50,100,50,50,60.16,0,34,37,49
20,0,0,0,0,0,14,0,0,0,0,0,0,0,0,20,0,20,20,20,50,50,50,0,50,32,50,95,50,50,100,100,39,34,59
0,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,30,50,50,50,50,50,50,100,50,50,75.17,100,40,45,52.5
20,20,20,20,0,20,0,20,20,9.5,0,20,20,20,4,20,20,20,20,0,50,50,47,32,50,10,50,100,45,16.5,100,25,37.5,45,44
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,31.5,39,51
0,20,20,20,20,20,20,20,20,20,20,20,20,14,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,38,45,55
20,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,38,45,58
20,20,20,20,20,20,0,20,20,20,20,20,20,0,20,0,0,20,20,20,50,50,0,0,50,50,0,100,50,50,100,50,31,45,50
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,43,58
20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,0,20,20,20,20,50,50,50,50,50,50,50,100,50,50,99.18,100,39,44,61
0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,47.73,50,50,100,50,50,100,65,37,43,54
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,18,50,50,50,50,0,50,50,100,100,31,41,45
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,44,60
20,20,20,20,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,0,0,0,50,0,0,75,50,50,25,100,30,39,45.5
20,20,20,20,20,20,20,20,20,20,20,20,10,20,20,20,20,0,20,20,50,50,50,50,0,50,50,100,50,50,100,100,37,36,52.5
20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,45,50,10,50,50,50,50,100,50,35,100,40,27.5,45,45
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,37,43,53
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,45,63
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,92.48,100,37,45,52
20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,0,20,20,45,50,50,50,50,50,50,100,50,50,100,100,37,40,56
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,42,60
20,20,20,20,0,0,20,20,20,20,20,20,0,20,20,20,20,20,6,20,50,50,50,50,0,50,50,100,50,50,100,75,36,30,52
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,50,44,50,0,0,0,60,50,0,0,0,23,33,38
