Lab 02,Lab 03,Lab 04,Lab 05,Lab 06,Lab 07,Lab 08,Lab 09,Lab 10,Lab 11,Lab 12,Lab 13,Lab 14,Lab 15,Lab 16,Lab 17,Lab 20,Lab 21,Lab 22,Lab 23,Homework 1,Homework 2,Homework 3,Homework 4,Homework 5,Homework 6,Homework 7,Project 1,Project 2A,Project 2B,Project 3,Project 4,Midterm 1,Midterm 2,Final Exam,Final Exam Grade
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,40.0,45.0,60.0,A-
0.0,0.0,0,0.3,7,0,0,10,0,11.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,26.5,45.0,45.0,C-
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,0,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,39.0,45.0,62.0,A
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,0,30,50,50,50,50.0,50,50,100,50.0,50.0,100.0,0.0,32.0,34.0,50.0,C+
0.0,20.0,20,20.0,20,20,20,10,20,20.0,20,20,20,20,20,20,20,20,20,20,35,50,50,50,50.0,0,50,100,50.0,50.0,100.0,50.0,32.0,44.0,53.0,B-
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,42,100,50.0,50.0,100.0,100.0,39.0,41.0,62.0,A
20.0,20.0,15,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,15.0,38.0,40.0,53.0,B-
20.0,20.0,20,20.0,20,20,20,20,20,19.5,20,20,20,20,20,20,20,20,6,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,35.0,37.0,55.0,B
20.0,17.5,20,0.0,20,20,20,20,20,20.0,20,20,15,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,75.0,34.0,43.0,56.0,B+
0.0,15.0,12,17.88,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,30,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,37.0,43.0,59.0,A-
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,0,20,6,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,50.0,31.0,34.0,48.0,C
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,45,50,0,0,50.0,50,50,55,50.0,50.0,100.0,100.0,39.0,45.0,53.0,B-
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,26.0,41.0,50.0,C+
20.0,20.0,20,20.0,0,20,20,20,20,20.0,20,0,20,20,20,20,0,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,65.0,38.0,44.0,58.0,A-
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,16,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,40.0,44.0,53.0,B-
